Seed,TTL Feature,Perturbation (%),Attack Category,Samples,RF TPR,MLP TPR
7,sttl,-10,Exploits,11132,0.3776500179662235,0.6862199065756378
7,sttl,-10,Fuzzers,6062,0.5851204223028703,0.3322335862751567
7,sttl,-10,Generic,18871,0.9823538763181602,0.5933972762439722
7,sttl,-10,Reconnaissance,3496,0.3469679633867277,0.48941647597254007
7,sttl,-10,Shellcode,378,0.3941798941798942,0.4576719576719577
7,sttl,-10,Worms,44,0.38636363636363635,0.5454545454545454
7,sttl,-5,Analysis,677,0.7562776957163959,0.9704579025110783
7,sttl,-5,Backdoor,583,0.8782161234991424,0.9588336192109777
7,sttl,-5,DoS,4089,0.25434091464905845,0.8390804597701149
7,sttl,-5,Exploits,11132,0.3776500179662235,0.6895436579231046
7,sttl,-5,Fuzzers,6062,0.5851204223028703,0.3667106565489937
7,sttl,-5,Generic,18871,0.9823538763181602,0.7437337713952625
7,sttl,-5,Reconnaissance,3496,0.3469679633867277,0.5080091533180778
7,sttl,-5,Shellcode,378,0.3941798941798942,0.4708994708994709
7,sttl,-5,Worms,44,0.38636363636363635,0.5681818181818182
7,sttl,-2,Analysis,677,0.7562776957163959,0.9704579025110783
7,sttl,-2,Backdoor,583,0.8782161234991424,0.9588336192109777
7,sttl,-2,DoS,4089,0.25434091464905845,0.8405478112007826
7,sttl,-2,Exploits,11132,0.3776500179662235,0.691609773625584
7,sttl,-2,Fuzzers,6062,0.5851204223028703,0.39260969976905313
7,sttl,-2,Generic,18871,0.9823538763181602,0.8469609453659054
7,sttl,-2,Reconnaissance,3496,0.3469679633867277,0.5188787185354691
7,sttl,-2,Shellcode,378,0.3941798941798942,0.47883597883597884
7,sttl,-2,Worms,44,0.38636363636363635,0.5909090909090909
7,sttl,0,Analysis,677,0.7607090103397341,0.9704579025110783
7,sttl,0,Backdoor,583,0.8850771869639794,0.9605488850771869
7,sttl,0,DoS,4089,0.2822205918317437,0.8420151626314503
7,sttl,0,Exploits,11132,0.4196909809558031,0.6928674092705713
7,sttl,0,Fuzzers,6062,0.5877598152424942,0.406961398878258
7,sttl,0,Generic,18871,0.9828837899422395,0.9052514440146257
7,sttl,0,Reconnaissance,3496,0.3512585812356979,0.522883295194508
7,sttl,0,Shellcode,378,0.3941798941798942,0.48148148148148145
7,sttl,0,Worms,44,0.38636363636363635,0.5909090909090909
7,sttl,2,Analysis,677,0.7607090103397341,0.9704579025110783
7,sttl,2,Backdoor,583,0.8850771869639794,0.9605488850771869
7,sttl,2,DoS,4089,0.2817314746881878,0.8422597212032281
7,sttl,2,Exploits,11132,0.4197808120733022,0.6932267337405678
7,sttl,2,Fuzzers,6062,0.5874298911250413,0.4092708677004289
7,sttl,2,Generic,18871,0.9820889195061205,0.9153727942345398
7,sttl,2,Reconnaissance,3496,0.3512585812356979,0.5231693363844394
7,sttl,2,Shellcode,378,0.3941798941798942,0.48148148148148145
7,sttl,2,Worms,44,0.38636363636363635,0.5909090909090909
7,sttl,5,Analysis,677,0.7607090103397341,0.9704579025110783
7,sttl,5,Backdoor,583,0.8850771869639794,0.9605488850771869
7,sttl,5,DoS,4089,0.2817314746881878,0.8422597212032281
7,sttl,5,Exploits,11132,0.419601149838304,0.693496227093065
7,sttl,5,Fuzzers,6062,0.5874298911250413,0.4092708677004289
7,sttl,5,Generic,18871,0.9820889195061205,0.9153727942345398
7,sttl,5,Reconnaissance,3496,0.3512585812356979,0.5231693363844394
7,sttl,5,Shellcode,378,0.3941798941798942,0.48148148148148145
7,sttl,5,Worms,44,0.38636363636363635,0.5909090909090909
