Seed,TTL Feature,Perturbation (%),Attack Category,Samples,RF TPR,MLP TPR,RF Clean TPR,MLP Clean TPR,RF TPR Drop,MLP TPR Drop
123,sttl,-2,Backdoor,583,0.9108061749571184,0.9656946826758147,0.9193825042881647,0.9656946826758147,-0.00857632933104635,0.0
123,sttl,-2,DoS,4089,0.38248960626069944,0.8246515040352165,0.46881878209831257,0.8248960626069943,-0.08632917583761313,-0.0002445585717778531
123,sttl,-2,Exploits,11132,0.42768595041322316,0.6488501616960115,0.5209306503772907,0.6493891484010061,-0.09324469996406753,-0.0005389867049946373
123,sttl,-2,Fuzzers,6062,0.6001319696469812,0.5168261299901022,0.6065654899373144,0.5257340811613329,-0.006433520290333172,-0.008907951171230666
123,sttl,-2,Generic,18871,0.9856923321498595,0.7941285570452016,0.987547029834137,0.8134704043240951,-0.0018546976842774843,-0.019341847278893542
123,sttl,-2,Reconnaissance,3496,0.3687070938215103,0.5214530892448512,0.3801487414187643,0.5263157894736842,-0.011441647597254023,-0.00486270022883295
123,sttl,-2,Shellcode,378,0.3941798941798942,0.5,0.3941798941798942,0.5026455026455027,0.0,-0.002645502645502673
123,sttl,-2,Worms,44,0.38636363636363635,0.4772727272727273,0.4090909090909091,0.4772727272727273,-0.022727272727272763,0.0
123,sttl,0,Analysis,677,0.7991137370753324,0.9940915805022157,0.7991137370753324,0.9940915805022157,0.0,0.0
123,sttl,0,Backdoor,583,0.9193825042881647,0.9656946826758147,0.9193825042881647,0.9656946826758147,0.0,0.0
123,sttl,0,DoS,4089,0.46881878209831257,0.8248960626069943,0.46881878209831257,0.8248960626069943,0.0,0.0
123,sttl,0,Exploits,11132,0.5209306503772907,0.6493891484010061,0.5209306503772907,0.6493891484010061,0.0,0.0
123,sttl,0,Fuzzers,6062,0.6065654899373144,0.5257340811613329,0.6065654899373144,0.5257340811613329,0.0,0.0
123,sttl,0,Generic,18871,0.987547029834137,0.8134704043240951,0.987547029834137,0.8134704043240951,0.0,0.0
